laptop_ID,Price_in_euros
209,1499.7868333333338
1281,479.6255515290267
1168,482.86939849927853
1231,808.4987495143256
1020,1075.0331142857142
379,600.3516722222222
553,655.6909991597585
172,1471.845435714286
779,1728.018526666667
609,477.8744666666667
256,2263.682757142857
117,1702.3760814754692
283,493.6977142857138
1195,1499.1671999999996
588,1080.4912142857142
743,422.35719979375193
715,2114.3182171428575
160,1430.342
1021,1728.2142142857147
49,605.8151039393939
690,1496.8557999999998
1135,435.0719999999999
852,1151.8109047619048
857,1791.0941666666668
210,472.52024
485,808.4987495143256
560,1104.6958333333334
1209,834.0717500000002
953,2433.7973433333304
460,1084.5693930952386
1092,1851.966402857145
152,466.2464442673692
806,1428.420793928571
986,3174.587701666666
917,2082.9597999999996
408,1940.6662586580087
942,634.7687780303033
959,1624.4699790487286
461,829.3476
858,1425.6303452380962
329,1010.4396947619045
1293,1283.517844186369
1284,555.0298401190477
628,1084.5693930952386
262,1940.6662586580087
933,808.4987495143256
676,1163.0088226260086
608,466.2464442673692
125,808.4987495143256
450,472.12208767171484
67,2133.4615999999996
93,808.4987495143256
769,1071.550115551115
1070,648.4047058660784
1162,1755.2643333333333
594,1961.412
288,596.3949384890512
273,904.9138446830945
355,1080.4912142857142
717,726.8860000000001
18,2321.387300000001
804,2302.4359999999997
60,417.10965998889986
186,2106.25
298,1163.0088226260086
864,714.6540783333336
1026,787.7732333333333
240,1499.7468333333338
875,2244.9376984126984
276,1925.6885333333337
939,653.1824278535355
436,305.48855238095257
702,1167.0112580952389
938,1799.1914866827615
558,1080.4912142857142
527,1371.1761333333336
624,1353.040555277777
1128,1660.4088354797977
844,1496.8557999999998
811,1425.6303452380962
129,1015.9547678571428
994,798.0949950793649
445,1740.845
1051,1642.2206895238094
937,1499.7868333333338
1073,2082.0721523809484
382,636.1765
765,808.4987495143256
159,751.666
998,751.666
696,698.6726666666668
90,1719.416886984126
1082,782.7186666666666
913,3836.311376190477
252,1825.5897361904783
1183,1074.749995238095
589,734.6703666666667
962,638.7063309090911
989,797.1398081920858
361,947.4654689911337
849,1778.904761904762
1067,777.4083958333335
1,1799.1914866827615
380,782.7186666666666
344,417.10965998889986
683,1499.7868333333338
405,1217.5138952777777
602,893.5771386955955
1296,368.25769875715685
782,1074.749995238095
91,1702.3760814754692
1122,466.2464442673692
251,797.1398081920858
218,808.4987495143256
941,1306.864825604934
533,472.12208767171484
1258,596.3949384890512
1059,1353.040555277777
905,2123.4525
220,1018.8195
230,808.4987495143256
1319,705.2101999999999
265,771.3266857864361
906,1890.487
880,841.4410476190477
733,482.86939849927853
1004,1914.094857142857
866,1080.4912142857142
80,472.12208767171484
